,DATE,LISTED PRICE,PRICE TREND,day_of_week,month,week_of_year,MA_7,MA_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price,price_change
DATE,1.0,-0.9415487613954804,0.05941969017248579,-0.0051549188253643685,0.13785689072135185,0.12453757964359129,-0.9534814782329788,-0.958563467276994,-0.27633337067784686,0.01321720360962598,-0.9420160820740535,-0.9421294616595571,-0.9422377885889189,-0.9426235833155745,-0.943103083097872,-0.9446630360265972,0.00792123875457848
LISTED PRICE,-0.9415487613954804,1.0,0.020291761547222235,0.004004815081229502,-0.15308462618568017,-0.14447603641655024,0.9841115349885042,0.9781948441076049,0.2524331350102997,0.14009602434858867,0.984201327220417,0.9742871587095865,0.9701005845955137,0.9549383275903383,0.9471814397255894,0.9977490529176697,0.08330177336113624
PRICE TREND,0.05941969017248579,0.020291761547222235,1.0,-0.022807771982789986,0.01827064732354753,0.02340184560755885,-0.06742187808822399,-0.0666299055236727,-0.06831391573028013,0.284168110243125,-0.09767332743985861,-0.08882417688153778,-0.07128959372825654,-0.0649528528125048,-0.06497356567930036,0.009215311749703909,0.6638403702826575
day_of_week,-0.0051549188253643685,0.004004815081229502,-0.022807771982789986,1.0,-0.00817970934497015,0.0024292589014550505,0.004224301293997944,0.004240975238669017,0.005152032798577781,-1.1733723024408017e-05,-0.0036025364427927104,-0.0049330566301021,0.0038202585865212573,0.003996051984090461,0.0039895543926004645,0.0034593995534665063,0.042794692635087
month,0.13785689072135185,-0.15308462618568017,0.01827064732354753,-0.00817970934497015,1.0,0.9540251906908405,-0.15554312439614623,-0.1612230133643411,-0.000997057767877035,0.010140079746046804,-0.15260300407649793,-0.15295239252523846,-0.15343272101424643,-0.15565480194668854,-0.16896364211633103,-0.16705782769020946,-0.0018505114808262892
week_of_year,0.12453757964359129,-0.14447603641655024,0.02340184560755885,0.0024292589014550505,0.9540251906908405,1.0,-0.14780996105340297,-0.15380270881787686,0.013019263791101401,0.029403442690510755,-0.14414353759949697,-0.144793728695784,-0.1456013819599277,-0.15284700608161714,-0.15813699507570897,-0.15771601094273405,-0.0010595617457026978
MA_7,-0.9534814782329788,0.9841115349885042,-0.06742187808822399,0.004224301293997944,-0.15554312439614623,-0.14780996105340297,1.0,0.9950090579937511,0.2738336430445857,0.011061813228830271,0.988106754741312,0.9904642870824636,0.9914569406201351,0.9777779503463014,0.9617118333057384,0.9840325481608115,-0.028016835431796262
MA_14,-0.958563467276994,0.9781948441076049,-0.0666299055236727,0.004240975238669017,-0.1612230133643411,-0.15380270881787686,0.9950090579937511,1.0,0.26682710990771674,-0.03584922559219037,0.9808962369745389,0.9826967352645357,0.9841282605726427,0.9859414816726698,0.9746481740326757,0.979064522957166,-0.02070141510799869
volatility_7,-0.27633337067784686,0.2524331350102997,-0.06831391573028013,0.005152032798577781,-0.000997057767877035,0.013019263791101401,0.2738336430445857,0.26682710990771674,1.0,-0.05094124408976271,0.26203429323851235,0.26745183455415905,0.27245672871413873,0.26692924734367157,0.2583768827575027,0.2653495844661349,-0.05545766552546161
momentum_7,0.01321720360962598,0.14009602434858867,0.284168110243125,-1.1733723024408017e-05,0.010140079746046804,0.029403442690510755,0.011061813228830271,-0.03584922559219037,-0.05094124408976271,1.0,0.07922688414254124,0.043570034514748515,0.012143496198388861,-0.1600941262209324,-0.03661438321193953,0.12863272670849774,0.3418084491051672
price_lag_1,-0.9420160820740535,0.984201327220417,-0.09767332743985861,-0.0036025364427927104,-0.15260300407649793,-0.14414353759949697,0.988106754741312,0.9808962369745389,0.26203429323851235,0.07922688414254124,1.0,0.9843164892397209,0.9744174841389568,0.957434267494976,0.9490534552272106,0.9833514180700714,-0.0944518641779081
price_lag_2,-0.9421294616595571,0.9742871587095865,-0.08882417688153778,-0.0049330566301021,-0.15295239252523846,-0.144793728695784,0.9904642870824636,0.9826967352645357,0.26745183455415905,0.043570034514748515,0.9843164892397209,1.0,0.984328346010275,0.9582390170555938,0.9499536845577908,0.9741773612475564,-0.06192400131311451
