,DATE,LISTED PRICE,PRICE TREND,day_of_week,month,week_of_year,MA_7,MA_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price,price_change
DATE,1.0,-0.6063813208295683,-0.00039012223959703575,-0.0007895123286749266,0.15024074057922257,0.1454213490334974,-0.6315219805939911,-0.6503314387975173,0.21875812144158027,-0.05395358352568262,-0.6060224228871264,-0.606154322231804,-0.6048881368618308,-0.5983490348399025,-0.5877717924197968,-0.5933026758118378,-0.009991277178789525
LISTED PRICE,-0.6063813208295683,1.0,0.10558875009302474,-0.006667718353194343,-0.09441848490539967,-0.09049638439188507,0.9370050634181463,0.8756464534770388,-0.36717701425377625,0.39704448094823785,0.9545091392246868,0.9243388109593264,0.8924608954456476,0.7743714069668524,0.6591977119052919,0.9976347837404345,0.16498926730592084
PRICE TREND,-0.00039012223959703575,0.10558875009302474,1.0,0.037632564201087744,0.019571416830424133,0.018522344151230056,-0.035074840284642674,-0.02327137703483503,-0.01362644311832595,0.22859838470904034,-0.10259956963428435,-0.05590746304108362,-0.04923285257041685,-0.04692889320251508,0.01382089409596136,0.10449277512772269,0.6901574827288293
day_of_week,-0.0007895123286749266,-0.006667718353194343,0.037632564201087744,1.0,-0.0004559477869999461,-0.002099801542124666,-0.0016492053364289359,-0.0011600827669892755,0.03631458954551161,-0.0024219328018689405,-0.01763470884785658,-0.01240164497152082,-0.006977906483610446,-0.00531871438063119,-0.005379100478176526,-0.006805754643116307,0.03617870038530584
month,0.15024074057922257,-0.09441848490539967,0.019571416830424133,-0.0004559477869999461,1.0,0.9719689214285862,-0.11521916940280855,-0.13104322491197243,0.04796132922833498,0.04500897662397069,-0.09928926020897247,-0.10578746107129693,-0.11085059396743012,-0.12998866313922225,-0.13488618732693125,-0.09372760170072916,0.014740183946717235
week_of_year,0.1454213490334974,-0.09049638439188507,0.018522344151230056,-0.002099801542124666,0.9719689214285862,1.0,-0.1113545043591657,-0.12656894822532153,0.055845117333061044,0.04280950232923539,-0.09562968246089455,-0.10235231356979534,-0.10755310788601873,-0.12436161426083686,-0.13017733410386068,-0.08994317824834312,0.015665476018816783
MA_7,-0.6315219805939911,0.9370050634181463,-0.035074840284642674,-0.0016492053364289359,-0.11521916940280855,-0.1113545043591657,1.0,0.9641827834608441,-0.30971424880453385,0.12381614052105208,0.9581516030049841,0.9705107089128076,0.9746762645160822,0.8967105358227195,0.7284887814485884,0.9311046137506238,-0.05634186921689691
MA_14,-0.6503314387975173,0.8756464534770388,-0.02327137703483503,-0.0011600827669892755,-0.13104322491197243,-0.12656894822532153,0.9641827834608441,1.0,-0.29132018975822865,-0.047801981743493996,0.8968258586265895,0.9149464847574214,0.9300321479947817,0.9507145562177893,0.8445179760310156,0.8681363143785663,-0.05734145442242379
volatility_7,0.21875812144158027,-0.36717701425377625,-0.01362644311832595,0.03631458954551161,0.04796132922833498,0.055845117333061044,-0.30971424880453385,-0.29132018975822865,1.0,-0.23061737335693316,-0.3471043511389831,-0.32249310295952743,-0.2968946451533774,-0.22584832111626374,-0.27999345407226517,-0.37859270703356324,-0.07172544353120149
momentum_7,-0.05395358352568262,0.39704448094823785,0.22859838470904034,-0.0024219328018689405,0.04500897662397069,0.04280950232923539,0.12381614052105208,-0.047801981743493996,-0.23061737335693316,1.0,0.2897223616639846,0.20395757803960843,0.11854151222004317,-0.2732605129083029,-0.12561582578866648,0.4059955673917963,0.36075408562649813
