,DATE,LISTED PRICE,PRICE TREND,day_of_week,month,week_of_year,MA_7,MA_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price,price_change
DATE,1.0,-0.061203029661961755,-0.006490120391277878,0.003606620140286668,0.07144629370040023,0.061002873979464745,-0.039864530469035375,0.01708025322687616,0.2801241246214716,-0.05962088741357526,-0.05148918367067135,-0.04158976002520824,-0.03149777675596636,0.01095057728728266,0.12261481777815104,-0.08372133784999293,-0.01439947172424857
LISTED PRICE,-0.061203029661961755,1.0,0.212168374224784,-0.023562350556438814,0.2068712304235782,0.10574243423751349,0.7146669894330727,0.6104476591894781,0.23060804602665141,0.644627007847846,0.7519471115955445,0.6281719861902957,0.5275060084843524,0.23955841416643242,0.19966436822767925,0.9978847109374253,0.3616222171652399
PRICE TREND,-0.006490120391277878,0.212168374224784,1.0,0.049974170819513934,0.07086179344129508,0.06676164133057456,-0.08539617954892871,-0.05415122345572236,-0.029817160590090982,0.20006958806987504,-0.2369811290851312,-0.1424561577997943,-0.09563758078829435,-0.02956199256552879,-0.039479804197317586,0.2093094069558287,0.6375147575216541
day_of_week,0.003606620140286668,-0.023562350556438814,0.049974170819513934,1.0,-0.010505346185740302,0.00819156337745876,0.00795959257019431,0.013673365338912852,-0.0010823303101980255,-0.00019742319519768436,-0.043495114902189616,-0.019396664842456633,0.05601334237385625,-0.024683190689317357,-0.023637637448633467,-0.021682516147745523,0.02793582492923621
month,0.07144629370040023,0.2068712304235782,0.07086179344129508,-0.010505346185740302,1.0,0.9516149696535763,0.12409138603528816,0.06108004430500796,-0.055114847953632064,0.16064779517302827,0.16491975545494908,0.12371515443816146,0.08235749373111825,0.014896671915229887,-0.10965382145487182,0.2133129399487775,0.061566603727024154
week_of_year,0.061002873979464745,0.10574243423751349,0.06676164133057456,0.00819156337745876,0.9516149696535763,1.0,0.06597860626969966,0.012845499981460276,-0.12964485506074222,0.07731361092984432,0.06435115356850346,0.05572419019395518,0.046145242338818435,0.013712382241274275,-0.10550612145200902,0.118232283395614,0.05968146922543931
MA_7,-0.039864530469035375,0.7146669894330727,-0.08539617954892871,0.00795959257019431,0.12409138603528816,0.06597860626969966,1.0,0.8674438905305253,0.28351744347806307,0.16922263337336468,0.7933158380628968,0.8448073546578011,0.8607231404834154,0.5413614126467846,0.23570286050886527,0.7320347824535678,-0.10350811500454958
MA_14,0.01708025322687616,0.6104476591894781,-0.05415122345572236,0.013673365338912852,0.06108004430500796,0.012845499981460276,0.8674438905305253,1.0,0.13434899734982783,-0.047678212174029025,0.6550109965082019,0.6851276548871417,0.7031061048343191,0.7065311893652712,0.40626642359317494,0.6309696682875574,-0.05642801445991403
volatility_7,0.2801241246214716,0.23060804602665141,-0.029817160590090982,-0.0010823303101980255,-0.055114847953632064,-0.12964485506074222,0.28351744347806307,0.13434899734982783,1.0,0.13583369152512476,0.24024629258100993,0.23213865361934805,0.2283591769268373,0.07152815606329042,-0.10449111502656598,0.20476220242624124,-0.01113905028525586
momentum_7,-0.05962088741357526,0.644627007847846,0.20006958806987504,-0.00019742319519768436,0.16064779517302827,0.07731361092984432,0.16922263337336468,-0.047678212174029025,0.13583369152512476,1.0,0.41801248356379606,0.2936847375157178,0.13241432398685374,-0.5878107436736816,0.05508359705470714,0.6271287268700908,0.3274620315756714
price_lag_1,-0.05148918367067135,0.7519471115955445,-0.2369811290851312,-0.043495114902189616,0.16491975545494908,0.06435115356850346,0.7933158380628968,0.6550109965082019,0.24024629258100993,0.41801248356379606,1.0,0.7481052788356553,0.6223571589882272,0.2648581052741305,0.20875819343635452,0.7616968473230974,-0.3426895216186357
price_lag_2,-0.04158976002520824,0.6281719861902957,-0.1424561577997943,-0.019396664842456633,0.12371515443816146,0.05572419019395518,0.8448073546578011,0.6851276548871417,0.23213865361934805,0.2936847375157178,0.7481052788356553,1.0,0.7441270165563685,0.291769487657198,0.21421958590862172,0.6405685449337963,-0.16283048715192563
price_lag_3,-0.03149777675596636,0.5275060084843524,-0.09563758078829435,0.05601334237385625,0.08235749373111825,0.046145242338818435,0.8607231404834154,0.7031061048343191,0.2283591769268373,0.13241432398685374,0.6223571589882272,0.7441270165563685,1.0,0.39005095736665746,0.22182864809888145,0.5429435709746526,-0.12844524696320642
price_lag_7,0.01095057728728266,0.23955841416643242,-0.02956199256552879,-0.024683190689317357,0.014896671915229887,0.013712382241274275,0.5413614126467846,0.7065311893652712,0.07152815606329042,-0.5878107436736816,0.2648581052741305,0.291769487657198,0.39005095736665746,1.0,0.1413327530448925,0.25954213536880727,-0.03319195150309629
price_lag_14,0.12261481777815104,0.19966436822767925,-0.039479804197317586,-0.023637637448633467,-0.10965382145487182,-0.10550612145200902,0.23570286050886527,0.40626642359317494,-0.10449111502656598,0.05508359705470714,0.20875819343635452,0.21421958590862172,0.22182864809888145,0.1413327530448925,1.0,0.2061864789316913,-0.010703485342911403
log_price,-0.08372133784999293,0.9978847109374253,0.2093094069558287,-0.021682516147745523,0.2133129399487775,0.118232283395614,0.7320347824535678,0.6309696682875574,0.20476220242624124,0.6271287268700908,0.7616968473230974,0.6405685449337963,0.5429435709746526,0.25954213536880727,0.2061864789316913,1.0,0.3448189232779183
price_change,-0.01439947172424857,0.3616222171652399,0.6375147575216541,0.02793582492923621,0.061566603727024154,0.05968146922543931,-0.10350811500454958,-0.05642801445991403,-0.01113905028525586,0.3274620315756714,-0.3426895216186357,-0.16283048715192563,-0.12844524696320642,-0.03319195150309629,-0.010703485342911403,0.3448189232779183,1.0
