DATE,LISTED PRICE,DISCOUNT PERCENTAGE,DISCOUNT AMOUNT,PRICE CHANGE,PRICE CHANGE PERCENTAGE,PRICE TREND,day_of_week,month,week_of_year,quarter,days_since_launch,is_sale_season,MA_7,MA_14,MA_30,volatility_7,volatility_14,momentum_7,momentum_14,price_acceleration,price_from_30d_high,price_from_30d_low,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,discount_pct_lag_1,discount_amount_lag_1,discount_pct_lag_2,discount_amount_lag_2,discount_pct_lag_3,discount_amount_lag_3,discount_pct_lag_7,discount_amount_lag_7,discount_intensity,has_discount,price_change_lag_1,price_change_pct_lag_1,price_change_lag_2,price_change_pct_lag_2,price_change_lag_3,price_change_pct_lag_3,log_price
2024-10-28,96999,25.38,33000,-978,-0.998193454,-1,0,10,44,4,29,1,97708.42857142857,98408.85714285714,101892.23333333334,564.8996539629594,873.5867582418862,-2000.0,-2991.0,-1763.0,-12981.0,0.0,97977.0,97192.0,97462.0,98999.0,99990.0,24.63,32022.0,25.24,32807.0,25.03,32537.0,23.85,31000.0,0.3402096928834318,1,785.0,0.807679644,-270.0,-0.277031048,-242.0,-0.247686891,11.48246625748552
2024-10-29,96900,25.46,33099,-99,-0.102062908,-1,1,10,44,4,30,1,97453.0,98193.5,101456.23333333334,438.17043868016225,844.8887728341933,-1788.0,-3015.0,879.0,-12099.0,0.0,96999.0,97977.0,97192.0,98688.0,99915.0,25.38,33000.0,24.63,32022.0,25.24,32807.0,24.09,31311.0,0.34157894736842104,1,-978.0,-0.998193454,785.0,0.807679644,-270.0,-0.277031048,11.481445117743048
2024-10-30,96900,25.46,33099,0,0.0,0,2,10,44,4,31,1,97304.85714285714,98011.21428571429,101052.93333333333,422.2733824474758,827.6011840131335,-1037.0,-2552.0,99.0,-12099.0,0.0,96900.0,96999.0,97977.0,97937.0,99452.0,25.46,33099.0,25.38,33000.0,24.63,32022.0,24.66,32062.0,0.34157894736842104,1,-99.0,-0.102062908,-978.0,-0.998193454,785.0,0.807679644,11.481445117743048
2024-10-31,96600,25.69,33399,-300,-0.309597523,-1,3,10,44,4,32,1,97147.14285714286,97839.78571428571,100639.63333333333,453.3727048727364,855.138691276679,-1104.0,-2400.0,-300.0,-12399.0,0.0,96900.0,96900.0,96999.0,97704.0,99000.0,25.46,33099.0,25.46,33099.0,25.38,33000.0,24.84,32295.0,0.34574534161490683,1,0.0,0.0,-99.0,-0.102062908,-978.0,-0.998193454,11.478344372113902
2024-11-01,96599,25.69,33400,-1,-0.001035197,-1,4,11,44,4,33,1,97023.85714285714,97668.35714285714,100226.3,470.498114969953,845.3834457388949,-863.0,-2400.0,299.0,-10251.0,0.0,96600.0,96900.0,96900.0,97462.0,98999.0,25.69,33399.0,25.46,33099.0,25.46,33099.0,25.03,32537.0,0.34575927287031955,1,-300.0,-0.309597523,0.0,0.0,-99.0,-0.102062908,11.47833402020061
2024-11-02,97969,24.64,32030,1370,1.418234143,1,5,11,44,4,34,1,97134.85714285714,97616.14285714286,99930.26666666666,592.5913230804906,798.0110715581347,777.0,-731.0,1371.0,-8866.0,1370.0,96599.0,96600.0,96900.0,97192.0,98700.0,25.69,33400.0,25.69,33399.0,25.46,33099.0,25.24,32807.0,0.3269401545386806,1,-1.0,-0.001035197,-300.0,-0.309597523,0.0,0.0,11.492416588338688
2024-11-03,97965,24.64,32034,-4,-0.004082924,-1,6,11,44,4,35,1,97133.14285714286,97563.64285714286,99634.6,589.7596766398046,743.5387949260794,-12.0,-735.0,-1374.0,-8850.0,1366.0,97969.0,96599.0,96600.0,97977.0,98700.0,24.64,32030.0,25.69,33400.0,25.69,33399.0,24.63,32022.0,0.3269943347113765,1,1370.0,1.418234143,-1.0,-0.001035197,-300.0,-0.309597523,11.492375758680017
2024-11-04,97917,24.68,32082,-48,-0.048997091,-1,0,11,45,4,36,1,97264.28571428571,97486.35714285714,99338.0,653.5731824070833,630.5087819971291,918.0,-1082.0,-44.0,-7082.0,1318.0,97965.0,97969.0,96599.0,96999.0,98999.0,24.64,32034.0,24.64,32030.0,25.69,33400.0,25.38,33000.0,0.32764484206011213,1,-4.0,-0.004082924,1370.0,1.418234143,-1.0,-0.001035197,11.491885672700962
2024-11-05,97839,24.74,32160,-78,-0.079659303,-1,1,11,45,4,37,1,97398.42857142857,97425.71428571429,99099.33333333333,662.6436591769695,540.4387716788458,939.0,-849.0,-30.0,-7160.0,1240.0,97917.0,97965.0,97969.0,96900.0,98688.0,24.68,32082.0,24.64,32034.0,24.64,32030.0,25.46,33099.0,0.32870327783399256,1,-48.0,-0.048997091,-4.0,-0.004082924,1370.0,1.418234143,11.491088770361054
2024-11-06,97700,24.85,32299,-139,-0.142070136,-1,2,11,45,4,38,1,97512.71428571429,97408.78571428571,98856.03333333334,630.563957709078,526.7294121520517,800.0,-237.0,-61.0,-6090.0,1101.0,97839.0,97917.0,97965.0,96900.0,97937.0,24.74,32160.0,24.68,32082.0,24.64,32034.0,25.46,33099.0,0.33059365404298874,1,-78.0,-0.079659303,-48.0,-0.048997091,-4.0,-0.004082924,11.489667073393028
2024-11-07,96900,25.46,33099,-800,-0.818833163,-1,3,11,45,4,39,1,97555.57142857143,97351.35714285714,98626.36666666667,564.9748835545286,535.8177943955163,300.0,-804.0,-661.0,-6095.0,301.0,97700.0,97839.0,97917.0,96600.0,97704.0,24.85,32299.0,24.74,32160.0,24.68,32082.0,25.69,33399.0,0.34157894736842104,1,-139.0,-0.142070136,-78.0,-0.079659303,-48.0,-0.048997091,11.481445117743048
2024-11-08,96700,25.61,33299,-200,-0.206398349,-1,4,11,45,4,40,1,97570.0,97296.92857142857,98416.53333333334,537.0747930532274,561.7869106402317,101.0,-762.0,600.0,-6295.0,101.0,96900.0,97700.0,97839.0,96599.0,97462.0,25.46,33099.0,24.85,32299.0,24.74,32160.0,25.69,33400.0,0.34435367114788,1,-800.0,-0.818833163,-139.0,-0.142070136,-78.0,-0.079659303,11.47937902264955
2024-11-09,96700,25.61,33299,0,0.0,0,5,11,45,4,41,1,97388.71428571429,97261.78571428571,98206.7,591.3745892086738,583.8125592990135,-1269.0,-492.0,200.0,-5100.0,101.0,96700.0,96900.0,97700.0,97969.0,97192.0,25.61,33299.0,25.46,33099.0,24.85,32299.0,24.64,32030.0,0.34435367114788,1,-200.0,-0.206398349,-800.0,-0.818833163,-139.0,-0.142070136,11.47937902264955
