DATE,LISTED PRICE,DISCOUNT PERCENTAGE,DISCOUNT AMOUNT,PRICE CHANGE,PRICE CHANGE PERCENTAGE,PRICE TREND,day_of_week,month,week_of_year,quarter,days_since_launch,is_sale_season,MA_7,MA_14,MA_30,volatility_7,volatility_14,momentum_7,momentum_14,price_acceleration,price_from_30d_high,price_from_30d_low,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,discount_pct_lag_1,discount_amount_lag_1,discount_pct_lag_2,discount_amount_lag_2,discount_pct_lag_3,discount_amount_lag_3,discount_pct_lag_7,discount_amount_lag_7,discount_intensity,has_discount,price_change_lag_1,price_change_pct_lag_1,price_change_lag_2,price_change_pct_lag_2,price_change_lag_3,price_change_pct_lag_3,log_price
2024-10-29,57999,12.12,8000,2,0.003448454,1,1,10,44,4,29,1,56758.142857142855,55211.07142857143,57465.2,1081.324562526796,1840.9760565144143,4289.0,4499.0,-696.0,-8000.0,5249.0,57997.0,57299.0,55888.0,53710.0,53500.0,12.12,8002.0,13.18,8700.0,15.32,10111.0,18.62,12289.0,0.1379334126450456,1,698.0,1.218171347,1411.0,2.524692242,-1102.0,-1.933672574,10.968198289528557
2024-10-30,57800,12.42,8199,-199,-0.343109364,-1,2,10,44,4,30,1,57076.857142857145,55571.78571428572,57191.9,997.9922225099866,1816.2424939152022,2231.0,5050.0,-201.0,-8199.0,5050.0,57999.0,57997.0,57299.0,55569.0,52750.0,12.12,8000.0,12.12,8002.0,13.18,8700.0,15.8,10430.0,0.14185121107266435,1,2.0,0.003448454,698.0,1.218171347,1411.0,2.524692242,10.96476135554887
2024-10-31,57790,12.44,8209,-10,-0.017301038,-1,3,10,44,4,31,1,57394.71428571428,55931.78571428572,56918.26666666667,762.8411180766979,1710.3121252958697,2225.0,5040.0,189.0,-8209.0,5040.0,57800.0,57999.0,57997.0,55565.0,52750.0,12.42,8199.0,12.12,8000.0,12.12,8002.0,15.81,10434.0,0.14204879736978715,1,-199.0,-0.343109364,2.0,0.003448454,698.0,1.218171347,10.96458833319395
2024-11-01,57868,12.32,8131,78,0.134971448,1,4,11,44,4,32,1,57520.142857142855,56228.42857142857,56647.23333333333,757.3681246199949,1655.5270466524566,878.0,4153.0,88.0,-2131.0,5118.0,57790.0,57800.0,57999.0,56990.0,53715.0,12.44,8209.0,12.42,8199.0,12.12,8000.0,13.65,9009.0,0.1405094352664685,1,-10.0,-0.017301038,-199.0,-0.343109364,2.0,0.003448454,10.96593711430799
2024-11-02,57000,13.64,8999,-868,-1.499965439,-1,5,11,44,4,33,1,57679.0,56461.28571428572,56547.26666666667,381.14913966398194,1500.613691310808,1112.0,3260.0,-946.0,-2999.0,4250.0,57868.0,57790.0,57800.0,55888.0,53740.0,12.32,8131.0,12.44,8209.0,12.42,8199.0,15.32,10111.0,0.15787719298245614,1,78.0,0.134971448,-10.0,-0.017301038,-199.0,-0.343109364,10.950824090522445
2024-11-03,53715,18.61,12284,-3285,-5.763157895,-1,6,11,44,4,34,1,57167.0,56441.0,56337.8,1560.210242242992,1537.9159724970473,-3584.0,-284.0,-2417.0,-6284.0,965.0,57000.0,57868.0,57790.0,57299.0,53999.0,13.64,8999.0,12.32,8131.0,12.44,8209.0,13.18,8700.0,0.228688448291911,1,-868.0,-1.499965439,78.0,0.134971448,-10.0,-0.017301038,10.891466187701067
2024-11-04,57000,13.64,8999,3285,6.115610165,1,0,11,45,4,35,1,57024.57142857143,56585.0,56237.833333333336,1516.7137564641382,1484.4512065458334,-997.0,2016.0,6570.0,-2999.0,4250.0,53715.0,57000.0,57868.0,57997.0,54984.0,18.61,12284.0,13.64,8999.0,12.32,8131.0,12.12,8002.0,0.15787719298245614,1,-3285.0,-5.763157895,-868.0,-1.499965439,78.0,0.134971448,10.950824090522445
2024-11-05,56996,13.64,9003,-4,-0.007017544,-1,1,11,45,4,36,1,56881.28571428572,56819.71428571428,56137.73333333333,1455.4560241021295,1233.4680581796351,-1003.0,3286.0,-3289.0,-2799.0,4246.0,57000.0,53715.0,57000.0,57999.0,53710.0,13.64,8999.0,18.61,12284.0,13.64,8999.0,12.12,8000.0,0.15795845322478771,1,3285.0,6.115610165,-3285.0,-5.763157895,-868.0,-1.499965439,10.95075391385265
2024-11-06,56996,13.64,9003,0,0.0,0,2,11,45,4,37,1,56766.42857142857,56921.642857142855,56044.433333333334,1401.599783240884,1179.9642502500315,-804.0,1427.0,4.0,-2744.0,4246.0,56996.0,57000.0,53715.0,57800.0,55569.0,13.64,9003.0,13.64,8999.0,18.61,12284.0,12.42,8199.0,0.15795845322478771,1,-4.0,-0.007017544,3285.0,6.115610165,-3285.0,-5.763157895,10.95075391385265
2024-11-07,56890,13.8,9109,-106,-0.185977963,-1,3,11,45,4,38,1,56637.857142857145,57016.28571428572,55949.433333333334,1331.5873270363275,1114.0785380802258,-900.0,1325.0,-106.0,-1109.0,4140.0,56996.0,56996.0,57000.0,57790.0,55565.0,13.64,9003.0,13.64,9003.0,13.64,8999.0,12.44,8209.0,0.16011601335911407,1,0.0,0.0,-4.0,-0.007017544,3285.0,6.115610165,10.94889243537189
